"AddedDate(GMT+0)","Application","Component","ComponentId","EntryType","EventType","InstanceId","Level","ProcessId","SessionId","Tenant","UserId","Message"
"2016-10-06 07:45:41.865","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext+AppStudioServiceUserContextData",,"General","-1","WIN-BGCTL2CJP0V:8710","Info","8332",,,,"Security provider 'Infor.BI.Repository.Metadata.RepositoryLibraryUserContext+RepositoryLibraryUserContextData' registered."
"2016-10-06 07:45:41.869","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","24","WIN-BGCTL2CJP0V:8710","Info","8332",,,,"Context for session 'urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB' created."
"2016-10-06 07:45:41.884","Application Studio Service Worker","Infor.BI.Configuration.Model.Sessions",,"General","50","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Entering function 'Sessions.Activate': sessionId = urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB, workerId = F4E3E3A5-5AB6-4BFB-A1A9-BAAE68CDB6CB, identification = D408BBA4-6018-43DD-BCFB-39C7685F40AC/Infor.BI.ApplicationStudio.Contracts.IApplicationStudioService"
"2016-10-06 07:45:41.897","Application Studio Service Worker","Infor.BI.Configuration.Model.Sessions",,"General","51","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Leaving function 'Sessions.Activate': return = Session: SessionId:urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB Service:Application Studio, WorkerId:F4E3E3A5-5AB6-4BFB-A1A9-BAAE68CDB6CB"
"2016-10-06 07:45:41.898","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","2001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Creating server-side contract handler for 'Infor.BI.ApplicationStudio.Contracts.IApplicationStudioService'"
"2016-10-06 07:45:41.898","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","3","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Session 'urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB' established and activated in database."
"2016-10-06 07:45:41.936","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Entering function 'AppStudioContracts.LoginSso': ssoTicket = I2Qrit4157cg3wy3eGqcdC+AmWs9utXh07dfEOHQMyRd9CuAyonwiZAHx66B9bXe6PxCjbCyo1AyVOvGH86c90shAwc3fqRxhbzeJohK7Aj9ejaEXyv65TgDn/8jBDh6SMqJ29sc+Iu8qv5CXKrvuWHu7UxBn7Sz1lPJmALKsmcVhyku6fOxPVmzczMhJYOAbCMkuwj1uvWRPA84iV/zx+x+gTf1KeKnkyLiAx0ao2ZVA4zEsnIIifW9sn/zXZXUjrQKIAvKO3yvtCO6xZQHODh1TswFJO7N0enqHl48Q2s2gTNaHX4ZWVdkxUOtwJO7U+20FE+v2o1WBrH0AzZ9VCmvJ7sXKOcaIARH7QLq5j/wOTXPIAsgDCACvIhuUIuQUZJZKmrqsGNHJrNQojEjthgfcKgXQHZSh4I2+MwuQl0mVekt5nar057iMZWLNMjehamTUqxZXURy/C82zOm7em76Ipa6wthLlXCM2QS07VbU9awHaqp5T//maR0MSb0MBcfHwfZv5l4KuQGEy5h/jK40whrDf5l0XlLYHUHNjT0wM80HgnmXtDW2xhB5/uNg7EWESVZSxYwiabdGReoRHfiXLM5k28WI32eDMF4QOeC4we2OnKe7vrd+dc8Pm7FpoeVrom00PniJADOqHkyXq3pg4y+pb0dBJSgxxQWx2yqYYSkUA1tEKihQFmsNOmCM1xJS7e6j5yjxzgxJelWymg=="
"2016-10-06 07:45:41.952","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryServiceProxy",,"General","60","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Proxy Repository/RepositoryRegistry created: receiveTimeout=02:00:00, sessionTimeout=02:00:00"
"2016-10-06 07:45:42.004","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Connecting to 'Repository_single' using ticket."
"2016-10-06 07:45:42.006","Application Studio Service Worker","Infor.BI.Repository.Metadata.RepositoryManager",,"General","2200","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Connecting to repository 'Repository_single' (18A9985F-8BC6-46E5-9815-6AB582C5B305)"
"2016-10-06 07:45:42.096","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryAccessProxy",,"General","60","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Proxy Repository/RepositoryAccess created: receiveTimeout=02:00:00, sessionTimeout=02:00:00"
"2016-10-06 07:45:42.121","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryAccessProxy",,"General","-1","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"Connecting repository '18A9985F-8BC6-46E5-9815-6AB582C5B305'..."
"2016-10-06 07:45:42.510","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeStart","4002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single",,"AuthenticateTicket"
"2016-10-06 07:45:42.596","Application Studio Service Worker","Infor.BI.Repository.Metadata.Repository",,"General","-1","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","New user authenticated to repository 18A9985F-8BC6-46E5-9815-6AB582C5B305. Connected users: 1"
"2016-10-06 07:45:42.597","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeEnd","4002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","AuthenticateTicket: 87 ms"
"2016-10-06 07:45:42.597","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeEnd","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","Connecting to 'Repository_single' using ticket.: 592 ms"
"2016-10-06 07:45:42.602","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","51","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","Leaving function 'AppStudioContracts.LoginSso': return = 8WPSBhBgfOnVge1kXvOLvkiPnVl+kK6PNyNnHyIJDpKmnUfvCV0skAdopOSgyNekFpTeB9CUmoXSzDe1zxMZDNQIDXr1ZZ1LP4NOBKPsD/OgkIH28lWr2tUhVM5b/V9UbwTsANhMdZXommUGM/Ra1Zwez8VRuPRxQ/9PpKWRZjlgJg1G7zcps6cq2LKKmgXfPXfuL2xMleZQS3IQrMc2ZE+lpp5OlDbD8SJYEnj7+SbljNuRcR9i2kJtv764relybMDSx1LFg1mn0mlgn2e8cK8XRZkukc6RrwvJwsOyElmvnzYLz68LtZZGAsYexgUwNIxQQDrgD9B4vq7alscyb+14okS7PvUbmwp4aDMD38o2Ya/kKulakBmXfl6/sqehTyoPKlgEBblhfMXA2GMBrL0EL1OmLQLO0lBV52rz1Nu/JKmtqGjOM+HFunmbkNPTsaFSW5YNJBhgctoe7Bi3nZ1dcEDUadelKShYPeExWBScQmfKVyjfEV1FAy04q6Saun0hwTa5Pj3C2C0pAfEft9JB5cJL5JhrB546nQ9R1CtRswOBaS6/PUipWG6ztGiEFJhiNfeC7vCX+vAENLaGQ4oMCaBBcxq38IgSzm2HsVDo4IXZQAw4gKWawhrEJCIawRq0ie0z11HRB4/yHfCQQpNZ4jTqlxymtQes3baohPtycscHZos8mTxo50XD4GgZgmnp3x2qV+PZBT2WBfGXIw=="
"2016-10-06 07:45:43.200","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","Entering function 'AppStudioContracts.GetProjects': "
"2016-10-06 07:45:43.427","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","51","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:369E0EB7-6DDE-48A3-9560-715026A3CCAB","single","admin","Leaving function 'AppStudioContracts.GetProjects': return = 2 item(s)"
"2016-10-06 07:45:43.526","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext+AppStudioServiceUserContextData",,"General","-1","WIN-BGCTL2CJP0V:8710","Info","8332",,,,"Security provider 'Infor.BI.Repository.Metadata.RepositoryLibraryUserContext+RepositoryLibraryUserContextData' registered."
"2016-10-06 07:45:43.528","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","24","WIN-BGCTL2CJP0V:8710","Info","8332",,,,"Context for session 'urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F' created."
"2016-10-06 07:45:43.560","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","2001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Creating server-side contract handler for 'Infor.BI.ApplicationStudio.Contracts.IApplicationStudioConnection'"
"2016-10-06 07:45:43.560","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","3","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Session 'urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F' established and activated in database."
"2016-10-06 07:45:43.567","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Entering function 'AppStudioContracts.CreateFromId': ssoTicket = 8WPSBhBgfOnVge1kXvOLvkiPnVl+kK6PNyNnHyIJDpKmnUfvCV0skAdopOSgyNekFpTeB9CUmoXSzDe1zxMZDNQIDXr1ZZ1LP4NOBKPsD/OgkIH28lWr2tUhVM5b/V9UbwTsANhMdZXommUGM/Ra1Zwez8VRuPRxQ/9PpKWRZjlgJg1G7zcps6cq2LKKmgXfPXfuL2xMleZQS3IQrMc2ZE+lpp5OlDbD8SJYEnj7+SbljNuRcR9i2kJtv764relybMDSx1LFg1mn0mlgn2e8cK8XRZkukc6RrwvJwsOyElmvnzYLz68LtZZGAsYexgUwNIxQQDrgD9B4vq7alscyb+14okS7PvUbmwp4aDMD38o2Ya/kKulakBmXfl6/sqehTyoPKlgEBblhfMXA2GMBrL0EL1OmLQLO0lBV52rz1Nu/JKmtqGjOM+HFunmbkNPTsaFSW5YNJBhgctoe7Bi3nZ1dcEDUadelKShYPeExWBScQmfKVyjfEV1FAy04q6Saun0hwTa5Pj3C2C0pAfEft9JB5cJL5JhrB546nQ9R1CtRswOBaS6/PUipWG6ztGiEFJhiNfeC7vCX+vAENLaGQ4oMCaBBcxq38IgSzm2HsVDo4IXZQAw4gKWawhrEJCIawRq0ie0z11HRB4/yHfCQQpNZ4jTqlxymtQes3baohPtycscHZos8mTxo50XD4GgZgmnp3x2qV+PZBT2WBfGXIw==, project = C5A022B7-323B-4C81-9B8B-D4F02EA4585B"
"2016-10-06 07:45:43.568","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Logging in to repository via ticket."
"2016-10-06 07:45:43.569","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Authenticating to repository"
"2016-10-06 07:45:43.569","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"Connecting to 'Repository_single' using ticket."
"2016-10-06 07:45:43.569","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeStart","4002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single",,"AuthenticateTicket"
"2016-10-06 07:45:43.577","Application Studio Service Worker","Infor.BI.Repository.Metadata.Repository",,"General","-1","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","New user authenticated to repository 18A9985F-8BC6-46E5-9815-6AB582C5B305. Connected users: 2"
"2016-10-06 07:45:43.577","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeEnd","4002","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","AuthenticateTicket: 7 ms"
"2016-10-06 07:45:43.578","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeEnd","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Connecting to 'Repository_single' using ticket.: 8 ms"
"2016-10-06 07:45:43.578","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","-1","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Authentication to repository succeeded."
"2016-10-06 07:45:43.578","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeEnd","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Authenticating to repository: 8 ms"
"2016-10-06 07:45:43.580","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeStart","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Creating repository model for project C5A022B7-323B-4C81-9B8B-D4F02EA4585B."
"2016-10-06 07:45:43.789","Application Studio Service Worker","Infor.BI.Reporting.Metadata.MetadataManager",,"General","30200","WIN-BGCTL2CJP0V:8710","Warn","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Repository inconsistency detected: Authorization object 54FCD190-6D5D-4829-9D6A-082FEC943EBF does not exist."
"2016-10-06 07:45:43.791","Application Studio Service Worker","Infor.BI.Reporting.Metadata.MetadataManager",,"General","30200","WIN-BGCTL2CJP0V:8710","Warn","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Repository inconsistency detected: Reporting role 96B6C14D-5D32-44C2-9CE6-0A65C95D8C3D does not exist."
"2016-10-06 07:45:43.792","Application Studio Service Worker","Infor.BI.Reporting.Metadata.MetadataManager",,"General","30200","WIN-BGCTL2CJP0V:8710","Warn","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Repository inconsistency detected: Reporting role 96B6C14D-5D32-44C2-9CE6-0A65C95D8C3D does not exist."
"2016-10-06 07:45:43.898","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Project+ProjectVariableValueFactory",,"General","-1","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","User session values loaded for user 'admin' in batch. Defined values '146', null values 4. Type: DataObjectBase"
"2016-10-06 07:45:43.961","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Project+DataSourceSettingFactory",,"General","-1","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","User session values loaded for user 'admin' in batch. Defined values '1', null values 0. Type: ProjectDataSourceSetting"
"2016-10-06 07:45:44.023","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Reporting+ReportingSettingFactory",,"General","-1","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","User session values loaded for user 'admin' in batch. Defined values '8', null values 174. Type: DataObjectBase"
"2016-10-06 07:45:44.026","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"General","-1","WIN-BGCTL2CJP0V:8710","Info","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Creation of repository model for project C5A022B7-323B-4C81-9B8B-D4F02EA4585B suceeded."
"2016-10-06 07:45:44.026","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeEnd","60001","WIN-BGCTL2CJP0V:8710","Debug","8332","urn:uuid:F1FEFD14-6D12-4DA6-906C-C7F8ACB9930F","single","admin","Creating repository model for project C5A022B7-323B-4C81-9B8B-D4F02EA4585B.: 446 ms"
