"AddedDate(GMT+2)","Application","Component","ComponentId","EntryType","EventType","InstanceId","Level","ProcessId","SessionId","Tenant","UserId","Message"
"2016-10-07 11:49:18.976","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.ApplicationStudioService",,"General","-1","czprdjruncik:8710","Info","21156",,,,"Initializing 'Application Studio Service Worker', Capabilities - 'StateFull,SoapContracts,SoapApi,HeartBeat,ProduceMetrics'"
"2016-10-07 11:49:18.992","Application Studio Service Worker","Infor.BI.Repository.Metadata.RepositoryManager",,"General","-1","czprdjruncik:8710","Info","21156",,,,"Security environment: ServiceSingleTenant"
"2016-10-07 11:49:18.992","Application Studio Service Worker","Infor.BI.Service.Core.Infrastructure.InfrastructureServiceHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Infrastructure, Soap contract ConfigurationChange (receiveTimeout=02:00:00, sessionTimeout=NA)"
"2016-10-07 11:49:18.992","Application Studio Service Worker","Infor.BI.Service.Core.Infrastructure.InfrastructureServiceHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Infrastructure, Soap contract LogChange (receiveTimeout=02:00:00, sessionTimeout=NA)"
"2016-10-07 11:49:18.992","Application Studio Service Worker","Infor.BI.Service.Core.Infrastructure.InfrastructureServiceHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Infrastructure, Soap contract WorkerStatusProvider (receiveTimeout=02:00:00, sessionTimeout=NA)"
"2016-10-07 11:49:18.992","Application Studio Service Worker","Infor.BI.Service.Core.Infrastructure.InfrastructureServiceHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Infrastructure, Soap contract RepositoryChange (receiveTimeout=02:00:00, sessionTimeout=NA)"
"2016-10-07 11:49:19.023","Application Studio Service Worker","Infor.BI.Service.Worker.StateFullApplicationHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Application, Soap contract ApplicationStudio (receiveTimeout=02:00:00, sessionTimeout=02:00:00)"
"2016-10-07 11:49:19.023","Application Studio Service Worker","Infor.BI.Service.Worker.StateFullApplicationHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Application, Soap contract ApplicationStudioConnection (receiveTimeout=02:00:00, sessionTimeout=02:00:00)"
"2016-10-07 11:49:19.023","Application Studio Service Worker","Infor.BI.Service.Worker.ApplicationApiHost",,"General","2001","czprdjruncik:8710","Debug","21156",,,,"Registering Api, Soap contract ApplicationStudioConnection (receiveTimeout=02:00:00, sessionTimeout=02:00:00)"
"2016-10-07 11:49:19.023","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.ApplicationStudioService",,"General","2000","czprdjruncik:8710","Info","21156",,,,"Heart Beat endpoint configured. Url - 'http://+:8710/BI/heartbeat/'"
"2016-10-07 11:49:19.133","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.ApplicationStudioService",,"General","2120","czprdjruncik:8710","Info","21156",,,,"Minimum threads in thread pool changed to '80'. Processor Count: 8"
"2016-10-07 11:49:19.133","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.ApplicationStudioService",,"General","2120","czprdjruncik:8710","Info","21156",,,,"Maximum threads in thread pool changed to '800'. Processor Count: 8"
