"AddedDate(GMT+2)","Application","Component","ComponentId","EntryType","EventType","InstanceId","Level","ProcessId","SessionId","Tenant","UserId","Message"
"2016-10-14 11:58:11.930","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext+AppStudioServiceUserContextData",,"General","-1","czprdjruncik:8710","Info","13812",,,,"Security provider 'Infor.BI.Repository.Metadata.RepositoryLibraryUserContext+RepositoryLibraryUserContextData' registered."
"2016-10-14 11:58:11.933","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","24","czprdjruncik:8710","Info","13812",,,,"Context for session 'urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2' created."
"2016-10-14 11:58:11.948","Application Studio Service Worker","Infor.BI.Configuration.Model.Sessions",,"General","50","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Entering function 'Sessions.Activate': sessionId = urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2, workerId = 869642B6-235F-4B41-A5BD-E981F6F3ABF2, identification = 2232CA8A-34EF-4C93-8341-4C9D06A1BCE9/Infor.BI.ApplicationStudio.Contracts.IApplicationStudioService"
"2016-10-14 11:58:11.962","Application Studio Service Worker","Infor.BI.Configuration.Model.Sessions",,"General","51","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Leaving function 'Sessions.Activate': return = Session: SessionId:urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2 Service:Application Studio, WorkerId:869642B6-235F-4B41-A5BD-E981F6F3ABF2"
"2016-10-14 11:58:11.962","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","2001","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Creating server-side contract handler for 'Infor.BI.ApplicationStudio.Contracts.IApplicationStudioService'"
"2016-10-14 11:58:11.962","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","3","czprdjruncik:8710","Info","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Session 'urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2' established and activated in database."
"2016-10-14 11:58:11.983","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Entering function 'AppStudioContracts.LoginSso': ssoTicket = mgoLA25BBIwXXXnaSYLURYF6xGNaMEdnt7B3EOkO/uDWCy+lioFDEcpUs1yfz9+PDjkzPiydywldf7AZiFNKgzgfyuHb9KWgthk/9mDovcV1QJlXE0+oA8yifKp/SfstYedcItWPMcXveKvbMoZZ//Xy0mG6ROuhNsQukxiQuE9VA6I76+X3nva5R/6OQlKpxfY1mISAUaPIcm+z/+eFTU/M8Ge0l0piqwwmT1zp9bSl6vonbZLVQxLvuLHu6AwUpbXw0Sv42+2LzwcxMVIWe41rST6W7uK/M2fO/0IrhXm6uAmpEY1ni+IOnOyUTYi0buVD0zUsbPvOzfpNT94h9egcZ2KgPFAXN2ep3hZDWklBkyEpfdpNWu6iE0bBqmgz2VAhVxsYZQyli1liIByaKOGgjQDuIfGcH3vCNmKBIPEB8qeNLxwy1iqEuaopavW0xsWPXjL6PqZNXAcNBG7cZTnxchujKZLLU5dp9zjOHHg4WH1Ebzw3pjLyFFeEGkI7XLXF2RK7Y3EqCh76L/gVZmzLS0syqYQzEznnDMhOQRxcELMxSoe6ww/9y93aNhyb5EpzyoCvXoRfeOxtVWtJetMGKPnQAXX+elVt8Ue9xtvQu5pXC1n8Gzxm2I0bflg+WBTusQeAqASRuYR/h6fBxlRrH6fDx4+CS/JKX+0NDolriKlz+PtQ42RS0wIFWUJmCPDa1N/AOdPpVif8Fdv0INISw4L/hM1WtgWuUk+41E5hN+cn+J/CQbnL0QnHMJibJ3hXDNwk8cIkGqi2tf7QXhaZXHng+64WVnYup8zjFsloiWClzwfHakMkk9owlYhZw13Z9BPKIGc/W559y7s/Vxy8yoBsKPOnwtQdQiTvVcghtq0TK7EATBKGDeLVceI35NXn/HICbDKFoUvxaOnYIA=="
"2016-10-14 11:58:11.994","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryServiceProxy",,"General","60","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Proxy Repository/RepositoryRegistry created: receiveTimeout=02:00:00, sessionTimeout=02:00:00"
"2016-10-14 11:58:12.007","Application Studio Service Worker","Infor.BI.Repository.Metadata.RepositoryManager",,"General","-1","czprdjruncik:8710","Info","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Refreshing connection to repository service. Repository registrations and repository settings will be refreshed."
"2016-10-14 11:58:12.027","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Connecting to 'DefaultName0' using ticket."
"2016-10-14 11:58:12.052","Application Studio Service Worker","Infor.BI.Repository.Metadata.RepositoryManager",,"General","2200","czprdjruncik:8710","Info","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Connecting to repository 'DefaultName0' (17F1E47D-1E84-4EA0-8E50-5C242CA71FE6)"
"2016-10-14 11:58:12.075","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryAccessProxy",,"General","60","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Proxy Repository/RepositoryAccess created: receiveTimeout=02:00:00, sessionTimeout=02:00:00"
"2016-10-14 11:58:12.093","Application Studio Service Worker","Infor.BI.Repository.Metadata.Proxy.RepositoryAccessProxy",,"General","-1","czprdjruncik:8710","Info","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"Connecting repository '17F1E47D-1E84-4EA0-8E50-5C242CA71FE6'..."
"2016-10-14 11:58:12.294","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeStart","4002","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single",,"AuthenticateTicket"
"2016-10-14 11:58:12.348","Application Studio Service Worker","Infor.BI.Repository.Metadata.Repository",,"General","-1","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","New user authenticated to repository 17F1E47D-1E84-4EA0-8E50-5C242CA71FE6. Connected users: 1"
"2016-10-14 11:58:12.349","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeEnd","4002","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","AuthenticateTicket: 55 ms"
"2016-10-14 11:58:12.349","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeEnd","60001","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","Connecting to 'DefaultName0' using ticket.: 297 ms"
"2016-10-14 11:58:12.352","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","51","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","Leaving function 'AppStudioContracts.LoginSso': return = juOsns6lzigugiABmlN3afiPqqX5+AzcC1/VizUtvDAF7JIA89UZglRE7lOTKYtrf83/vRajL0Wy3cRrd1/WNCUdMIRbiMI9Hbiyiqzkt2PfgPz1xvrpMYGDAqTPpt/6swq222IPyxqaX7N5DWMwp4LERWGp2wdz19GuDWpTH3cHmaBjNpHWZbb+d4BACBmLN3qkf+TMSl9ClylVTToEjb3Mtw6nsXoqDHGO9vUhOk8rqKHJAfWmkQhA0I3zTeqMJxQ39EiVeESiDPbbz5Y0clF42XSIuDoNDmq2z6Q6dTfYnZrLLvMynF09U7BMVjarAhmViiCsFIIbGhqL4fvjiWhpxkq6LzZ8d61Ey2xCI8iMLdTuGoNV6RbF5rnYa3Rx37vKZbfs8qCGjbGIsu6vO0ulXXf7ICOLKkK3EEPbxyJ4RRNc+G+VEiDSZ18vjgcWQJUmk4GIEcAclpHc6Yxy9jJdlpAAsvGRrHSWzLPOSKeGOVUels2mEJwnzNV6FpwsZGh46EWHhXd+Wh4R0JzEMNAULDszhIj3dnPkYIDRvqEfXP+jTEAbMcqRnK6CE6LiZH1wL4fmxc9Wm1edlMJ9M2jiWfpyGcQ7IuG9FryhprZqNsR8lJ/Mg1vaBAp4GrjJw63mFDqzt/l3dx+LQg8liGDhzpDrzY5rXgByX1H0LL9+lEKHkuOwk0QqV5GKbHhuEeS5oH6VAFOBcaLqJto4uNj5DLZtxwOMgGN0DMk8a5hXHJw8dVl4eUN79GKQv2dNXifVuMoy/PHSxCeFvUk8J3MCrjmEdJA0kHiyEZlzvV7MFzOMeryDjQlmTzwhJB6Xz8Kld4+KiUD6JpXl+xga5XE9JXmS5WN4jjKZIbCY/DfWE1/5k/AeL/ghUvclmcmVnYiNIwT/7wvm6Pivv8m9oA=="
"2016-10-14 11:58:12.358","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","Entering function 'AppStudioContracts.GetProjects': "
"2016-10-14 11:58:12.593","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","51","czprdjruncik:8710","Debug","13812","urn:uuid:83A03845-B96E-4B27-8363-3754C58C6FE2","single","Admin","Leaving function 'AppStudioContracts.GetProjects': return = 12 item(s)"
"2016-10-14 11:58:12.657","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext+AppStudioServiceUserContextData",,"General","-1","czprdjruncik:8710","Info","13812",,,,"Security provider 'Infor.BI.Repository.Metadata.RepositoryLibraryUserContext+RepositoryLibraryUserContextData' registered."
"2016-10-14 11:58:12.657","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","24","czprdjruncik:8710","Info","13812",,,,"Context for session 'urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC' created."
"2016-10-14 11:58:12.667","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","2001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Creating server-side contract handler for 'Infor.BI.ApplicationStudio.Contracts.IApplicationStudioConnection'"
"2016-10-14 11:58:12.667","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","3","czprdjruncik:8710","Info","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Session 'urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC' established and activated in database."
"2016-10-14 11:58:12.670","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Contracts.AppStudioContracts",,"General","50","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Entering function 'AppStudioContracts.CreateFromId': ssoTicket = juOsns6lzigugiABmlN3afiPqqX5+AzcC1/VizUtvDAF7JIA89UZglRE7lOTKYtrf83/vRajL0Wy3cRrd1/WNCUdMIRbiMI9Hbiyiqzkt2PfgPz1xvrpMYGDAqTPpt/6swq222IPyxqaX7N5DWMwp4LERWGp2wdz19GuDWpTH3cHmaBjNpHWZbb+d4BACBmLN3qkf+TMSl9ClylVTToEjb3Mtw6nsXoqDHGO9vUhOk8rqKHJAfWmkQhA0I3zTeqMJxQ39EiVeESiDPbbz5Y0clF42XSIuDoNDmq2z6Q6dTfYnZrLLvMynF09U7BMVjarAhmViiCsFIIbGhqL4fvjiWhpxkq6LzZ8d61Ey2xCI8iMLdTuGoNV6RbF5rnYa3Rx37vKZbfs8qCGjbGIsu6vO0ulXXf7ICOLKkK3EEPbxyJ4RRNc+G+VEiDSZ18vjgcWQJUmk4GIEcAclpHc6Yxy9jJdlpAAsvGRrHSWzLPOSKeGOVUels2mEJwnzNV6FpwsZGh46EWHhXd+Wh4R0JzEMNAULDszhIj3dnPkYIDRvqEfXP+jTEAbMcqRnK6CE6LiZH1wL4fmxc9Wm1edlMJ9M2jiWfpyGcQ7IuG9FryhprZqNsR8lJ/Mg1vaBAp4GrjJw63mFDqzt/l3dx+LQg8liGDhzpDrzY5rXgByX1H0LL9+lEKHkuOwk0QqV5GKbHhuEeS5oH6VAFOBcaLqJto4uNj5DLZtxwOMgGN0DMk8a5hXHJw8dVl4eUN79GKQv2dNXifVuMoy/PHSxCeFvUk8J3MCrjmEdJA0kHiyEZlzvV7MFzOMeryDjQlmTzwhJB6Xz8Kld4+KiUD6JpXl+xga5XE9JXmS5WN4jjKZIbCY/DfWE1/5k/AeL/ghUvclmcmVnYiNIwT/7wvm6Pivv8m9oA==, project = 51F813FE-8B5F-424C-B0DB-2CEE025A04B5"
"2016-10-14 11:58:12.671","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Logging in to repository via ticket."
"2016-10-14 11:58:12.671","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Authenticating to repository"
"2016-10-14 11:58:12.671","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"Connecting to 'DefaultName0' using ticket."
"2016-10-14 11:58:12.671","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeStart","4002","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single",,"AuthenticateTicket"
"2016-10-14 11:58:12.678","Application Studio Service Worker","Infor.BI.Repository.Metadata.Repository",,"General","-1","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","New user authenticated to repository 17F1E47D-1E84-4EA0-8E50-5C242CA71FE6. Connected users: 2"
"2016-10-14 11:58:12.678","Application Studio Service Worker","Infor.BI.Repository.Metadata.Profiler",,"TimeEnd","4002","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","AuthenticateTicket: 7 ms"
"2016-10-14 11:58:12.678","Application Studio Service Worker","Infor.BI.Reporting.Metadata.Repository.RepositoryConnection",,"TimeEnd","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Connecting to 'DefaultName0' using ticket.: 7 ms"
"2016-10-14 11:58:12.678","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"General","-1","czprdjruncik:8710","Info","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Authentication to repository succeeded."
"2016-10-14 11:58:12.678","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeEnd","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Authenticating to repository: 7 ms"
"2016-10-14 11:58:12.680","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Creating repository model for project 51F813FE-8B5F-424C-B0DB-2CEE025A04B5."
"2016-10-14 11:58:12.838","Application Studio Service Worker","Infor.BI.Reporting.Metadata.MetadataManager",,"General","30200","czprdjruncik:8710","Warn","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Repository inconsistency detected: Authorization object 54FCD190-6D5D-4829-9D6A-082FEC943EBF does not exist."
"2016-10-14 11:58:12.839","Application Studio Service Worker","Infor.BI.Reporting.Metadata.MetadataManager",,"General","30200","czprdjruncik:8710","Warn","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Repository inconsistency detected: Reporting role D8FADCE0-F4C0-498E-B13B-DADA81B45329 does not exist."
"2016-10-14 11:58:12.917","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Project+ProjectVariableValueFactory",,"General","-1","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","User session values loaded for user 'Admin' in batch. Defined values '148', null values 4. Type: DataObjectBase"
"2016-10-14 11:58:12.970","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Project+DataSourceSettingFactory",,"General","-1","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","User session values loaded for user 'Admin' in batch. Defined values '1', null values 0. Type: ProjectDataSourceSetting"
"2016-10-14 11:58:13.005","Application Studio Service Worker","Infor.BI.Repository.Metadata.Objects.Reporting+ReportingSettingFactory",,"General","-1","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","User session values loaded for user 'Admin' in batch. Defined values '8', null values 174. Type: DataObjectBase"
"2016-10-14 11:58:13.007","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"General","-1","czprdjruncik:8710","Info","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Creation of repository model for project 51F813FE-8B5F-424C-B0DB-2CEE025A04B5 suceeded."
"2016-10-14 11:58:13.007","Application Studio Service Worker","Infor.BI.Reporting.Context.ReportingUserContext",,"TimeEnd","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Creating repository model for project 51F813FE-8B5F-424C-B0DB-2CEE025A04B5.: 327 ms"
"2016-10-14 11:58:13.008","Application Studio Service Worker","Infor.BI.ApplicationStudio.Service.Context.AppStudioServiceUserContext",,"TimeStart","60001","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Executing post-login operations."
"2016-10-14 11:58:13.554","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasConnector",,"TimeStart","60100","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Connecting to aliases (part 1)"
"2016-10-14 11:58:13.560","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeStart","60002","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Connecting alias 'Best Practices OLAP'"
"2016-10-14 11:58:13.637","Application Studio Service Worker","Infor.BI.Reporting.Context.DatabaseAliasUtilities.AleaDatabaseAliasUtilities",,"TimeStart","60002","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Connecting to alias database"
"2016-10-14 11:58:13.651","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeStart","60003","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","XMLA:ExecuteSchema DISCOVER_DATASOURCES"
"2016-10-14 11:58:13.681","Application Studio Service Worker","Infor.BI.Service.Core.Helpers.ServiceCertificateValidator",,"General","209","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Validating certificate... (subject-name = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE', thumbprint = 'F42896..6A7F63', not-after = '02.06.2026 15:19:34', issuer = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE' (thumbprint = '<self-signed>'))"
"2016-10-14 11:58:13.748","Application Studio Service Worker","Infor.BI.Configuration.Security.CertificateRegistry",,"General","2","czprdjruncik:8710","Error","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Certificate is not trusted by Farm (subject = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE', thumbprint = 'F428968163DCC96448D33B5496489CB05C6A7F63', issuer = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE') 0 -> FrameworkSecurityException: Certificate is not trusted by Farm (subject = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE', thumbprint = 'F428968163DCC96448D33B5496489CB05C6A7F63', issuer = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE') Stack Trace: at Infor.BI.Configuration.Security.CertificateRegistry.Validate(X509Certificate2 certificate, X509Chain chain, SslPolicyErrors sslPolicyErrors) in D:\JenkinsBuilds\FWK_1200D\Sources\Infor.BI.Configuration\Security\CertificateRegistry.cs:line 86 at Infor.BI.Service.Core.Helpers.ServiceCertificateValidator.Validate(Object sender, X509Certificate certificate, X509Chain chain, SslPolicyErrors sslPolicyErrors) in D:\JenkinsBuilds\FWK_1200D\Sources\Infor.BI.Service.Core\Helpers\ServiceCertificateValidator.cs:line 60 at System.Net.Security.RemoteCertificateValidationCallback.Invoke(Object sender, X509Certificate certificate, X509Chain chain, SslPolicyErrors sslPolicyErrors) <suppressed system method calls> "
"2016-10-14 11:58:13.748","Application Studio Service Worker","Infor.BI.Service.Core.Helpers.ServiceCertificateValidator",,"General","209","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","Validating certificate... done (false: framework validation failed) (subject-name = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE', thumbprint = 'F42896..6A7F63', not-after = '02.06.2026 15:19:34', issuer = 'E=noreply@infor.com, CN=CZPR-DBSRV, OU=Organizational Unit, O=Infor, L=Darmstadt, S=Germany, C=DE' (thumbprint = '<self-signed>'))"
"2016-10-14 11:58:13.759","Application Studio Service Worker","Mis.Olap.XmlaDriver.DiscoverRequest",,"TimeEnd","60003","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","XMLA:ExecuteSchema DISCOVER_DATASOURCES: 108 ms"
"2016-10-14 11:58:13.764","Application Studio Service Worker","Mis.Olap.XmlaDriver.ExecuteRequest",,"TimeStart","60003","czprdjruncik:8710","Debug","13812","urn:uuid:6DB0214E-2DB4-4D87-876B-101E216409BC","single","Admin","XMLA:ExecuteMDX: "
